date,border,local
2021-11-10,0,226
2021-11-09,1,158
2021-11-08,3,121
2021-11-07,2,148
2021-11-06,2,168
2021-11-05,2,152
2021-11-04,2,179
2021-11-03,3,170
2021-11-02,5,115
2021-11-01,5,108
2021-10-31,2,154
2021-10-30,3,159
2021-10-29,3,114
2021-10-28,3,150
2021-10-27,6,105
2021-10-26,2,85
2021-10-25,1,73
2021-10-24,0,105
2021-10-23,2,90
2021-10-22,6,95
2021-10-21,0,116
2021-10-20,4,98
2021-10-19,2,88
2021-10-18,5,81
2021-10-17,7,75
2021-10-16,1,53
2021-10-15,0,40
2021-10-14,0,55
2021-10-13,1,89
2021-10-12,2,49
2021-10-11,1,36
2021-10-10,0,44
2021-10-09,1,48
2021-10-08,0,40
2021-10-07,3,38
2021-10-06,2,36
2021-10-05,2,40
2021-10-04,1,26
2021-10-03,2,25
2021-10-02,0,28
2021-10-01,0,29
2021-09-30,0,18
2021-09-29,3,24
2021-09-28,0,45
2021-09-27,2,7
2021-09-26,2,13
2021-09-25,1,22
2021-09-24,1,11
2021-09-23,2,10
2021-09-22,2,15
2021-09-21,1,24
2021-09-20,0,11
2021-09-19,1,24
2021-09-18,1,23
2021-09-17,2,21
2021-09-16,4,10
2021-09-15,4,16
2021-09-14,1,10
2021-09-13,3,14
2021-09-12,2,40
2021-09-11,3,15
2021-09-10,3,22
2021-09-09,3,10
2021-09-08,8,14
2021-09-07,1,13
2021-09-06,1,26
2021-09-05,4,15
2021-09-04,3,24
2021-09-03,2,22
2021-09-02,1,28
2021-09-01,4,44
2021-08-31,0,58
2021-08-30,0,63
2021-08-29,2,54
2021-08-28,0,78
2021-08-27,1,77
2021-08-26,2,79
2021-08-25,1,66
2021-08-24,2,60
2021-08-23,2,38
2021-08-22,3,36
2021-08-21,4,27
2021-08-20,2,20
2021-08-19,4,16
2021-08-18,8,4
2021-08-17,7,5
2021-08-16,0,0
2021-08-15,4,0
2021-08-14,3,0
2021-08-13,3,0
2021-08-12,0,0
2021-08-11,8,0
2021-08-10,3,0
2021-08-09,3,0
2021-08-08,12,0
2021-08-07,4,0
2021-08-06,2,0
2021-08-05,1,0
2021-08-04,0,0
2021-08-03,2,0
2021-08-02,2,0
2021-08-01,4,0
2021-07-31,0,0
2021-07-30,4,0
2021-07-29,0,0
2021-07-28,6,0
2021-07-27,1,0
2021-07-26,2,0
2021-07-25,0,0
2021-07-24,1,0
2021-07-23,3,0
2021-07-22,5,0
2021-07-21,6,0
2021-07-20,8,0
2021-07-19,6,0
2021-07-18,3,0
2021-07-17,4,0
2021-07-16,6,0
2021-07-15,2,0
2021-07-14,22,0
2021-07-13,0,0
2021-07-12,15,0
2021-07-11,3,0
2021-07-10,3,0
2021-07-09,0,0
2021-07-08,0,0
2021-07-07,2,0
2021-07-06,5,0
2021-07-05,1,0
2021-07-04,9,0
2021-07-03,3,0
2021-07-02,3,0
2021-07-01,3,0
2021-06-30,1,0
2021-06-29,1,0
2021-06-28,5,0
2021-06-27,6,0
2021-06-26,3,0
2021-06-25,3,0
2021-06-24,2,0
2021-06-23,1,0
2021-06-22,4,0
2021-06-21,0,0
2021-06-20,2,0
2021-06-19,2,0
2021-06-18,2,0
2021-06-17,1,0
2021-06-16,2,0
2021-06-15,0,0
2021-06-14,1,0
2021-06-13,0,0
2021-06-12,3,0
2021-06-11,4,0
2021-06-10,5,0
2021-06-09,1,0
2021-06-08,6,0
2021-06-07,4,0
2021-06-06,3,0
2021-06-05,0,0
2021-06-04,2,0
2021-06-03,1,0
2021-06-02,2,0
2021-06-01,5,0
2021-05-31,0,0
2021-05-30,2,0
2021-05-29,1,0
2021-05-28,0,0
2021-05-27,1,0
2021-05-26,0,0
2021-05-25,1,0
2021-05-24,2,0
2021-05-23,4,0
2021-05-22,0,0
2021-05-21,3,0
2021-05-20,1,0
2021-05-19,1,0
2021-05-18,6,0
2021-05-17,1,0
2021-05-16,5,0
2021-05-15,1,0
2021-05-14,0,0
2021-05-13,0,0
2021-05-12,1,0
2021-05-11,1,0
2021-05-10,0,0
2021-05-09,1,0
2021-05-08,1,0
2021-05-07,3,0
2021-05-06,5,0
2021-05-05,1,0
2021-05-04,4,0
2021-05-03,1,0
2021-05-02,4,0
2021-05-01,3,0
